,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
210,11/01/2020,Crystal Palace,Arsenal,1,1,P Tierney
211,11/01/2020,Chelsea,Burnley,3,0,K Friend
212,11/01/2020,Everton,Brighton,1,0,D Coote
213,11/01/2020,Leicester,Southampton,1,2,L Mason
214,11/01/2020,Man United,Norwich,4,0,A Taylor
215,11/01/2020,Wolves,Newcastle,1,1,P Bankes
216,11/01/2020,Tottenham,Liverpool,0,1,M Atkinson
217,12/01/2020,Bournemouth,Watford,0,3,M Dean
218,12/01/2020,Aston Villa,Man City,1,6,J Moss
219,18/01/2020,Watford,Tottenham,0,0,M Oliver
220,18/01/2020,Arsenal,Sheffield United,1,1,M Dean
221,18/01/2020,Brighton,Aston Villa,1,1,A Madley
222,18/01/2020,Man City,Crystal Palace,2,2,S Scott
223,18/01/2020,Norwich,Bournemouth,1,0,P Tierney
224,18/01/2020,Southampton,Wolves,2,3,D England
225,18/01/2020,West Ham,Everton,1,1,A Marriner
226,18/01/2020,Newcastle,Chelsea,1,0,C Kavanagh
227,19/01/2020,Burnley,Leicester,2,1,A Taylor
228,19/01/2020,Liverpool,Man United,2,0,C Pawson
229,21/01/2020,Aston Villa,Watford,2,1,M Atkinson
230,21/01/2020,Bournemouth,Brighton,3,1,K Friend
231,21/01/2020,Crystal Palace,Southampton,0,2,A Marriner
232,21/01/2020,Everton,Newcastle,2,2,S Hooper
233,21/01/2020,Sheffield United,Man City,0,1,L Mason
234,21/01/2020,Chelsea,Arsenal,2,2,S Attwell
235,22/01/2020,Leicester,West Ham,4,1,D Coote
236,22/01/2020,Tottenham,Norwich,2,1,C Kavanagh
237,22/01/2020,Man United,Burnley,0,2,J Moss
238,23/01/2020,Wolves,Liverpool,1,2,M Oliver
239,29/01/2020,West Ham,Liverpool,0,2,J Moss
240,01/02/2020,Leicester,Chelsea,2,2,L Mason
241,01/02/2020,Bournemouth,Aston Villa,2,1,A Taylor
242,01/02/2020,Crystal Palace,Sheffield United,0,1,A Madley
243,01/02/2020,Liverpool,Southampton,4,0,K Friend
244,01/02/2020,Newcastle,Norwich,0,0,M Atkinson
245,01/02/2020,Watford,Everton,2,3,C Pawson
246,01/02/2020,West Ham,Brighton,3,3,M Oliver
247,01/02/2020,Man United,Wolves,0,0,P Tierney
248,02/02/2020,Burnley,Arsenal,0,0,C Kavanagh
249,02/02/2020,Tottenham,Man City,2,0,M Dean
250,08/02/2020,Everton,Crystal Palace,3,1,D Coote
251,08/02/2020,Brighton,Watford,1,1,K Friend
252,09/02/2020,Sheffield United,Bournemouth,2,1,J Moss
253,14/02/2020,Wolves,Leicester,0,0,M Dean
254,15/02/2020,Southampton,Burnley,1,2,S Hooper
255,15/02/2020,Norwich,Liverpool,0,1,S Attwell
256,16/02/2020,Aston Villa,Tottenham,2,3,M Atkinson
257,16/02/2020,Arsenal,Newcastle,4,0,L Mason
258,17/02/2020,Chelsea,Man United,0,2,A Taylor
259,19/02/2020,Man City,West Ham,2,0,K Friend
